================================================================================
RESULTADOS: PROGRAMAS FALTANTES EN APRENDICES.XLSX
================================================================================

Se encontraron 32 programas nuevos/faltantes:

PROGRAMA                                           | NIVEL               
---------------------------------------------------------------------------
ANALISIS Y DESARROLLO DE SOFTWARE.                 | TECNOLOGO           
ANALISIS Y DESARROLLO DE SOFTWARE_ CTA             | TECNOLOGO           
ANIMACIÓN 3D                                       | TECNOLOGO           
ARTENCIÓN INTEGRAL A LA PRIMERA INFANCIA           | TECNICO             
ASISTENCIA EN ORGANIZACIÓN DE ARCHIVOS_CTA         | TECNICO             
ASISTENCIA PARA LA INTELIGENCIA EMPRESARIAL        | TECNICO             
ATENCIÓN INTEGRAL A LA PRIMERA INFANCIA            | TECNICO             
CONTABILIZACION DE OPERACIONES COMERCIALES Y FINANCIERAS. | TECNICO             
CONTABILIZACIÓN DE OPERACIONES COMERCIALES Y FINANCIERAS | TECNICO             
EJECUCIÓN DE LA DANZA                              | TECNICO             
GESTION DE TALENTO HUMANO                          | TECNÓLOGO           
GESTION DEL TALENTO HUMANO                         | TECNOLOGO           
GESTION EMPRESARIAL                                | TECNOLOGO           
GESTON DE EMPRESAS AGROPECUARIA                    | TECNOLOGO           
INSTALACIÓN DE SISTEMAS ELECTRICOS RESIDECIALES Y COMERCIALES | TECNICO             
INTERPRETACION DE INSTRUMENTOS MUSICALES           | TECNICO             
MANEJO DE LA PRODUCCIÓN AGROECOLOGICA              | TECNICO             
MANTENIMIENTO DE EQUIPOS DE COMPUTO                | TECNICO             
MANTENIMIENTO DE MOTOCICLETAS Y MOTOCARROS         | TECNICO             
MAYORDOMIA DE LA EMPRESA GANADERA SOSTENIBLE       | TECNICO             
OPERACIONES COMERCIALES                            | TECNICO             
OPERACIONES DE CAJA Y SERVICOS DE ALAMCENES DE CADENA | TECNICO             
PROCESAMIENTO DE DERIVADOS LACTEOS                 | TECNICO             
PROCESOS DE PANADERIA                              | OPERARIO            
PRODUCCION DE ESPECIES MENORES                     | TECNOLOGO           
PRODUCCION GANADERA                                | TECNOLOGO           
PRODUCCIÓN PECUARIA                                | TÉCNICO             
PROGRAMACION DE SOFTWARE                           | TECNICO             
SALUD PUBLICA                                      | TECNICO             
SERVICIO FARMACEUTICO                              | TECNICO             
SISTEMAS TELEINFORMATICOS                          | TÉCNICO             
SISTEMAS TELEINFORMÁTICOS                          | TECNICO             
